name,owner,stargazers,pullRequests,allIssues,closedIssues,primaryLanguage,createdAt
algo,{'login': 'trailofbits'},{'totalCount': 29200},{'totalCount': 530},{'totalCount': 1603},{'totalCount': 1429},{'name': 'Jinja'},2016-05-15T03:42:48Z
rocksdb,{'login': 'facebook'},{'totalCount': 29178},{'totalCount': 606},{'totalCount': 3289},{'totalCount': 2599},{'name': 'C++'},2012-11-30T06:16:18Z
directus,{'login': 'directus'},{'totalCount': 29145},{'totalCount': 7728},{'totalCount': 8984},{'totalCount': 8458},{'name': 'TypeScript'},2012-12-12T01:35:36Z
paper-reading,{'login': 'mli'},{'totalCount': 29119},{'totalCount': 14},{'totalCount': 0},{'totalCount': 0},,2021-10-22T06:34:51Z
awesome-python-cn,{'login': 'jobbole'},{'totalCount': 29115},{'totalCount': 51},{'totalCount': 31},{'totalCount': 18},{'name': 'Makefile'},2015-11-03T09:50:50Z
cheerio,{'login': 'cheeriojs'},{'totalCount': 29103},{'totalCount': 2613},{'totalCount': 1206},{'totalCount': 1178},{'name': 'TypeScript'},2011-10-09T04:23:20Z
COVID-19,{'login': 'CSSEGISandData'},{'totalCount': 29088},{'totalCount': 2152},{'totalCount': 3759},{'totalCount': 2079},,2020-02-04T22:03:53Z
alpine,{'login': 'alpinejs'},{'totalCount': 29077},{'totalCount': 655},{'totalCount': 609},{'totalCount': 608},{'name': 'HTML'},2019-11-28T13:51:55Z
MonitorControl,{'login': 'MonitorControl'},{'totalCount': 29045},{'totalCount': 213},{'totalCount': 957},{'totalCount': 950},{'name': 'Swift'},2017-09-16T21:13:40Z
data-engineering-zoomcamp,{'login': 'DataTalksClub'},{'totalCount': 29020},{'totalCount': 376},{'totalCount': 133},{'totalCount': 132},{'name': 'Jupyter Notebook'},2021-10-21T09:32:50Z
pytorch-lightning,{'login': 'Lightning-AI'},{'totalCount': 29018},{'totalCount': 8830},{'totalCount': 7221},{'totalCount': 6352},{'name': 'Python'},2019-03-31T00:45:57Z
folly,{'login': 'facebook'},{'totalCount': 29001},{'totalCount': 12},{'totalCount': 1182},{'totalCount': 912},{'name': 'C++'},2012-06-01T20:49:04Z
swift-algorithm-club,{'login': 'kodecocodes'},{'totalCount': 28958},{'totalCount': 610},{'totalCount': 215},{'totalCount': 183},{'name': 'Swift'},2016-01-26T17:56:12Z
weekly,{'login': 'ascoders'},{'totalCount': 28951},{'totalCount': 136},{'totalCount': 365},{'totalCount': 363},{'name': 'JavaScript'},2017-03-20T06:10:04Z
CheatSheetSeries,{'login': 'OWASP'},{'totalCount': 28916},{'totalCount': 995},{'totalCount': 481},{'totalCount': 438},{'name': 'Python'},2018-12-21T14:26:43Z
tiptap,{'login': 'ueberdosis'},{'totalCount': 28911},{'totalCount': 1031},{'totalCount': 2947},{'totalCount': 2419},{'name': 'TypeScript'},2018-08-20T19:58:58Z
numpy,{'login': 'numpy'},{'totalCount': 28888},{'totalCount': 12398},{'totalCount': 13120},{'totalCount': 11112},{'name': 'Python'},2010-09-13T23:02:39Z
Data-Science-For-Beginners,{'login': 'microsoft'},{'totalCount': 28857},{'totalCount': 293},{'totalCount': 117},{'totalCount': 95},{'name': 'Jupyter Notebook'},2021-03-03T16:30:15Z
k3s,{'login': 'k3s-io'},{'totalCount': 28852},{'totalCount': 3740},{'totalCount': 6455},{'totalCount': 6333},{'name': 'Go'},2018-05-31T01:37:46Z
composer,{'login': 'composer'},{'totalCount': 28832},{'totalCount': 2896},{'totalCount': 7792},{'totalCount': 7685},{'name': 'PHP'},2011-06-08T08:53:00Z
canal,{'login': 'alibaba'},{'totalCount': 28826},{'totalCount': 463},{'totalCount': 4647},{'totalCount': 3551},{'name': 'Java'},2013-01-13T10:59:52Z
